職務類別,工作地區,學歷要求,工作經驗,公司規模,產業類別,上班時間,需求技能數量,薪資,職缺名稱,公司名稱
業務,台北市中山區,大學,不拘,800,銀行業,日班,0,39000,【歡迎應屆畢業生★不限科系】 存匯人員/儲備業務(台北),華泰商業銀行股份有限公司
業務,桃園市桃園區,碩士,不拘,175,停車場業,日班,0,42500,日商Times 【桃竹區業務開發】／無須應酬．底薪＋獎金,台灣普客二四股份有限公司
業務,高雄市前鎮區,專科,不拘,15,化學原料製造業,日班,0,32500,業務助理,浤福翔程氟化學股份有限公司
業務,新竹市,碩士,不拘,20,電子通訊／電腦週邊批發業,日班,12,40000,國內業務,捷邦科技股份有限公司
業務,桃園市蘆竹區,專科,不拘,0,綜合商品批發代理業,日班,2,34000,業務助理,承南國際股份有限公司
業務,新竹市,專科,不拘,0,其他電信及通訊相關業,夜班,3,36500,業務助理,星通資訊股份有限公司
業務,新竹市,專科,不拘,20,其它軟體及網路相關業,日班,9,45000,業務,恩萊特科技股份有限公司
業務,新北市新店區,碩士,不拘,30,其他電子零組件相關業,日班,0,42500,業務人員,賀琪股份有限公司
業務,台北市中正區,碩士,不拘,6,其他金融及輔助業,日班,0,90000,金融業務,曜楷有限公司
業務,新北市中和區,專科,不拘,30,其他電子零組件相關業,日班,5,32500,業務助理,碳索科技股份有限公司
業務,台中市梧棲區,專科,不拘,27,其他相關製造業,日班,7,35000,業務助理,安能複材科技股份有限公司
業務,新北市三重區,碩士,不拘,40,其他紡織製品製造業,日班,4,52500,業務代表,大成刺繡股份有限公司
業務,桃園市龜山區,大學,不拘,30,醫療器材製造業,日班,3,42000,業務助理,新加科技有限公司
業務,台北市內湖區,專科,不拘,12,半導體製造業,日班,0,37500,業務銷售,光茂科技有限公司
業務,台北市內湖區,專科,不拘,0,消費性電子產品製造業,日班,0,57500,業務專員,台灣佰橋科技股份有限公司
業務,新北市汐止區,高中職,不拘,110,其他醫療保健服務業,夜班,3,32500,業務助理,思必瑞特生技股份有限公司
業務,台北市內湖區,碩士,不拘,12,綜合商品批發代理業,日班,0,55000,國內業務,科岩實業股份有限公司
業務,台北市內湖區,大學,不拘,0,網際網路相關業,日班,0,45000,業務人員,聯好實業股份有限公司
業務,台中市西屯區,大學,不拘,200,電力機械器材製造修配業,日班,0,45000,業務專員(台中公司),伸泰國際股份有限公司
業務,台北市信義區,大學,不拘,10,不動產經營業,日班,3,220000,International Sales Manager/Consultant 國際房產經理/顧問,珀昇置業有限公司
業務,高雄市鼓山區,專科,不拘,50,建築工程業,日班,3,35000,業務專員,銳揚建設股份有限公司
業務,彰化縣鹿港鎮,高中以下,不拘,12,化學原料製造業,日班,0,37000,業務助理,晉記科技股份有限公司
業務,新北市中和區,專科,不拘,0,家庭電器／設備及用品批發業,日班,5,50000,業務助理,盛崎股份有限公司
業務,台北市中正區,專科,不拘,30,鞋類／布類／服飾品零售業,夜班,4,36000,業務助理,Glory 21_禾昌國際開發有限公司
業務,台南市關廟區,高中職,不拘,100,食品什貨零售業,日班,3,35000,業務專員,上智食品股份有限公司
業務,高雄市左營區,碩士,不拘,162,精密儀器相關製造業,日班,0,45000,業務專員,巨研科技股份有限公司
業務,新竹縣竹北市,碩士,不拘,20,綜合商品批發代理業,日班,2,42500,業務助理,閎臣衛廚股份有限公司
業務,高雄市三民區,碩士,不拘,0,其他金融及輔助業,日班,0,64750,業務人員,上富當舖
業務,新竹縣新埔鎮,高中職,不拘,10,其他半導體相關業,日班,2,46000,業務專員,史杰威科技股份有限公司
業務,台中市西區,大學,不拘,20,其他醫療保健服務業,日班,5,38500,業務助理,白色牙材股份有限公司
業務,屏東縣屏東市,碩士,不拘,0,其他金融及輔助業,日班,0,64750,業務,上富當舖
業務,新北市中和區,專科,不拘,24,生化科技研發業,日班,3,36500,業務助理,氫元生物科技股份有限公司
業務,彰化縣北斗鎮,大學,不拘,20,家庭電器／設備及用品零售業,日班,0,29500,業務助理,壯格照明科技有限公司
業務,新北市土城區,專科,不拘,800,其他電子零組件相關業,日班,3,38000,業務助理,大興電線電纜股份有限公司
業務,台北市信義區,專科,不拘,120,其它軟體及網路相關業,日班,4,33500,業務助理,諾亞克科技股份有限公司
業務,台北市內湖區,大學,不拘,28,其他半導體相關業,日班,0,40000,品牌業務,協技科技股份有限公司
業務,桃園市桃園區,碩士,不拘,0,空調水機電工程業,日班,2,41500,業務專員,洤安防災工程顧問有限公司
業務,基隆市七堵區,碩士,不拘,0,電子通訊／電腦週邊批發業,日班,1,33000,業務助理,迪恩科技電子有限公司
業務,台北市松山區,碩士,不拘,10,醫療器材製造業,日班,4,41500,業務助理,賦活生醫醫材有限公司
業務,嘉義縣民雄鄉,碩士,不拘,0,醫療器材製造業,日班,3,32250,業務助理,郡昱股份有限公司
業務,新北市五股區,碩士,不拘,3000,消費性電子產品製造業,日班,3,32500,業務助理,松上電子股份有限公司
業務,台中市太平區,大學,不拘,30,通用機械設備製造修配業,日班,0,38500,業務助理,川研有限公司
業務,台北市松山區,碩士,不拘,20,金屬礦業,日班,3,44000,業務助理,元鑫國際股份有限公司
業務,新北市淡水區,碩士,不拘,28,文教／育樂用品批發業,日班,4,34500,業務助理,新格子文創設計有限公司
業務,新北市三重區,大學,不拘,50,醫療器材製造業,夜班,4,35000,業務｜業務助理,翰沃生電科技股份有限公司
業務,高雄市鼓山區,大學,不拘,11,電腦系統整合服務業,日班,4,57500,業務,心統科技有限公司
業務,新北市土城區,專科,不拘,0,機械器具批發業,日班,1,40000,業務助理,微盛機電有限公司
業務,台北市內湖區,大學,不拘,0,食品什貨批發業,日班,3,36500,專業通路業務專員 (外加業務獎金),元寶食品股份有限公司
業務,新北市中和區,專科,不拘,10,印刷業,日班,6,36000,業務助理,上大彩色印刷有限公司
業務,新竹市,大學,不拘,50,其他半導體相關業,日班,9,35000,業務助理,博非科技股份有限公司
業務,台北市大同區,專科,不拘,10,廣告行銷公關業,日班,5,37500,業務助理,黑金剛廣告股份有限公司
業務,台南市永康區,碩士,不拘,0,機械器具批發業,日班,4,32500,業務助理,東榮機電有限公司
業務,台中市南區,碩士,不拘,0,其他金融及輔助業,日班,0,64750,業務人員,宏旺當舖
業務,桃園市蘆竹區,碩士,不拘,450,汽車及其零件製造業,日班,3,32900,業務助理,耿鼎企業股份有限公司
業務,台中市大雅區,不拘,不拘,10,建材／傢俱零售業,日班,0,69000,業務,明琪興業有限公司
業務,台北市內湖區,碩士,不拘,10,電力供應業,日班,3,35000,業務助理,鐵力能源科技股份有限公司
業務,台中市西屯區,碩士,不拘,0,其他金屬相關製造業,日班,3,32000,業務助理,力卡實業有限公司
業務,台北市信義區,專科,不拘,35,電腦軟體服務業,夜班,4,35000,業務助理,天微資訊股份有限公司
